transcript_id,HBR_Rep1_ERCC-Mix2,HBR_Rep2_ERCC-Mix2,HBR_Rep3_ERCC-Mix2,UHR_Rep1_ERCC-Mix1,UHR_Rep2_ERCC-Mix1,UHR_Rep3_ERCC-Mix1
ENST00000744898,0,0,0,0,0,0
ENST00000745994,0,0,0,0,0,0
ENST00000744904,0,0,0,0,0,0
ENST00000746321,0,0,0,0,0,0
ENST00000746320,0,0,0,0,0,0
ENST00000425657,0,0,0,0,0,0
ENST00000745642,0,0,0,0,0,0
ENST00000745643,0,0,0,0,0,0
ENST00000744905,0,0,0,0,0,0
ENST00000745644,0,0,0,0,0,0
ENST00000745647,0,0,0,0,0,0
ENST00000745645,0,0,0,0,0,0
ENST00000745646,0,0,0,0,0,0
ENST00000745648,0,0,0,0,0,0
ENST00000671208,0,0,0,0,0,0
ENST00000661463,0,0,0,0,0,0
ENST00000745842,0,0,0,0,0,0
ENST00000745835,0,0,0,0,0,0
ENST00000745834,0,0,0,0,0,0
ENST00000745840,0,0,0,0,0,0
ENST00000427857,0,0,0,0,0,0
ENST00000745838,0,0,0,0,0,0
ENST00000745836,0,0,0,0,0,0
ENST00000745841,0,0,0,0,0,0
ENST00000745856,0,0,0,0,0,0
ENST00000745843,0,0,0,0,0,0
ENST00000745844,0,0,0,0,0,0
ENST00000745839,0,0,0,0,0,0
ENST00000446136,0,0,0,0,0,0
ENST00000745858,0,0,0,0,0,0
ENST00000745845,0,0,0,0,0,0
ENST00000745837,0,0,0,0,0,0
ENST00000745849,0,0,0,0,0,0
ENST00000745850,0,0,0,0,0,0
ENST00000745848,0,0,0,0,0,0
ENST00000745851,0,0,0,0,0,0
ENST00000745852,0,0,0,0,0,0
ENST00000745847,0,0,0,0,0,0
ENST00000745846,0,0,0,0,0,0
ENST00000432963,0,0,0,0,0,0
ENST00000745859,0,0,0,0,0,0
ENST00000745855,0,0,0,0,0,0
ENST00000745853,0,0,0,0,0,0
ENST00000745854,0,0,0,0,0,0
ENST00000415481,0,0,0,0,0,0
ENST00000745857,0,0,0,0,0,0
ENST00000635557,0,0,0,0,0,0
ENST00000442505,0,0,0,0,0,0
ENST00000934983,0,0,0,0,0,0
ENST00000706764,0,0,0,0,0,0
ENST00000464322,0,0,0,0,0,0
ENST00000706765,0,0,0,0,0,0
ENST00000366955,0,0,0,0,0,0
ENST00000934982,0,0,0,0,0,0
ENST00000934984,0,0,0,0,0,0
ENST00000495259,0,0,0,0,0,0
ENST00000819408,0,0,0,0,0,0
ENST00000819407,0,0,0,0,0,0
ENST00000503096,0,0,0,0,0,0
ENST00000436983,0,0,0,0,0,0
ENST00000467765,0,0,0,0,0,0
ENST00000706766,0,0,0,0,0,0
ENST00000469862,0,0,0,0,0,0
ENST00000435676,0,0,0,0,0,0
ENST00000456900,0,0,0,0,0,0
ENST00000441649,0,0,0,0,0,0
ENST00000354422,0,0,0,0,0,0
ENST00000338353,0,0,0,0,0,0
ENST00000366136,0,0,0,0,0,0
ENST00000451784,0,0,0,0,0,0
ENST00000401133,0,0,0,0,0,0
ENST00000653824,0,0,0,0,0,0
ENST00000829275,0,0,0,0,0,0
ENST00000829274,0,0,0,0,0,0
ENST00000829276,0,0,0,0,0,0
ENST00000829470,0,0,0,0,0,0
ENST00000829471,0,0,0,0,0,0
ENST00000425271,0,0,0,0,0,0
ENST00000400979,12,13,14,26,26,26
ENST00000495197,3,0,0,0,0,3
ENST00000457262,1,3,3,8,6,9
ENST00000544730,0,0,0,1,3,3
ENST00000393544,0,0,0,1,1,1
ENST00000438498,2,0,0,1,1,1
ENST00000528679,0,0,0,0,0,0
ENST00000525645,0,0,0,0,0,0
ENST00000889305,0,0,0,0,0,0
ENST00000531673,0,0,0,0,0,0
ENST00000280362,0,0,0,0,0,0
ENST00000525803,0,0,0,0,0,0
ENST00000524931,0,0,0,0,0,0
ENST00000531175,0,0,0,0,0,0
ENST00000527428,0,0,0,0,0,0
ENST00000527635,0,0,0,0,0,0
ENST00000479691,0,0,0,0,0,0
ENST00000338832,0,0,0,0,0,0
ENST00000595053,0,0,0,0,0,0
ENST00000526466,2,0,0,0,0,0
ENST00000482993,0,0,0,0,0,0
ENST00000640237,0,0,0,0,0,0
ENST00000463137,0,0,0,0,0,0
ENST00000488261,0,0,0,0,0,0
ENST00000462252,0,0,0,0,0,0
ENST00000475114,0,0,0,0,0,0
ENST00000608946,0,0,0,0,0,0
ENST00000822677,0,0,0,0,0,0
ENST00000822678,0,0,0,0,0,0
ENST00000822676,0,0,0,0,0,0
ENST00000463117,0,0,0,0,0,0
ENST00000541261,0,0,0,0,0,0
ENST00000622716,0,0,0,0,0,0
ENST00000883803,0,0,0,0,0,0
ENST00000883802,0,0,0,0,0,0
ENST00000883804,0,0,0,0,0,0
ENST00000883805,0,0,0,0,0,0
ENST00000883808,0,0,0,0,0,0
ENST00000252945,0,0,0,0,0,0
ENST00000883806,0,0,0,0,0,0
ENST00000883807,0,0,0,0,0,0
ENST00000883809,0,0,0,0,0,0
ENST00000883810,0,0,0,0,0,0
ENST00000477500,0,0,0,0,0,0
ENST00000418356,0,0,0,0,0,0
ENST00000421586,0,0,0,0,0,0
ENST00000541080,0,0,0,0,0,0
ENST00000480558,0,0,0,0,0,0
ENST00000368520,0,0,0,0,0,0
ENST00000469258,0,0,0,0,0,0
ENST00000670832,0,0,0,0,0,0
ENST00000479535,0,0,0,0,0,0
ENST00000368517,0,0,0,0,0,0
ENST00000303903,0,0,0,0,0,0
ENST00000863036,0,0,0,0,0,0
ENST00000863038,0,0,0,0,0,0
ENST00000863035,0,0,0,0,0,0
ENST00000343131,0,0,0,0,0,0
ENST00000863037,0,0,0,0,0,0
ENST00000863039,0,0,0,0,0,0
ENST00000656338,0,0,0,0,0,0
ENST00000655152,0,0,0,0,0,0
ENST00000758907,0,0,0,0,0,0
ENST00000669404,0,0,0,0,0,0
ENST00000432597,0,0,0,0,0,0
ENST00000665054,0,0,0,0,0,0
ENST00000441446,0,0,0,0,0,0
ENST00000669879,0,0,0,0,0,0
ENST00000425520,0,0,0,0,0,0
ENST00000443774,0,0,0,0,0,0
ENST00000657107,2,0,0,0,0,0
ENST00000895679,0,0,0,0,0,0
ENST00000261405,0,0,0,0,0,0
ENST00000895680,0,0,0,0,0,0
ENST00000612016,0,0,0,0,0,0
ENST00000621700,0,0,0,0,0,0
ENST00000538635,0,0,0,0,0,0
ENST00000539641,0,0,0,0,0,0
ENST00000321023,0,0,0,0,0,0
ENST00000468423,0,0,0,0,0,0
ENST00000538563,0,0,0,0,0,0
ENST00000545906,0,0,0,0,0,0
ENST00000540192,0,0,0,0,0,0
ENST00000550722,0,0,0,0,0,0
ENST00000377560,0,0,0,0,0,0
ENST00000682272,0,0,0,0,0,0
ENST00000651701,0,0,0,0,0,0
ENST00000549306,0,0,0,0,0,0
ENST00000549141,0,0,0,0,0,0
ENST00000547085,0,0,0,0,0,0
ENST00000618657,0,0,0,0,0,0
ENST00000548140,0,0,0,0,0,0
ENST00000548588,0,0,0,0,0,0
ENST00000548896,0,0,0,0,0,0
ENST00000550968,0,0,0,0,0,0
ENST00000552437,0,0,0,0,0,0
ENST00000547519,0,0,0,0,0,0
ENST00000311694,0,0,0,0,0,0
ENST00000547401,0,0,0,0,0,0
ENST00000547352,0,0,0,0,0,0
ENST00000550724,0,0,0,0,0,0
ENST00000469026,0,0,0,0,0,0
ENST00000551552,0,0,0,0,0,0
ENST00000364558,3,5,0,3,0,7
ENST00000718713,0,0,0,0,0,0
ENST00000718711,0,0,0,0,0,0
ENST00000718714,0,0,0,0,0,0
ENST00000535684,0,0,0,0,0,0
ENST00000718709,0,0,0,0,0,0
ENST00000718710,0,0,0,0,0,0
ENST00000718712,0,0,0,0,0,0
ENST00000718715,0,0,0,0,0,0
ENST00000515979,0,0,0,0,0,0
ENST00000333722,0,0,0,0,0,0
ENST00000543942,0,0,0,0,0,0
ENST00000536546,0,0,0,0,0,0
ENST00000924490,0,0,0,0,0,0
ENST00000535515,0,0,0,0,0,0
ENST00000536975,0,0,0,0,0,0
ENST00000542397,0,0,0,0,0,0
ENST00000541802,0,0,0,0,0,0
ENST00000543259,0,0,0,0,0,0
ENST00000482431,0,0,0,0,0,0
ENST00000459220,0,0,0,0,0,0
ENST00000718717,0,0,0,0,0,0
ENST00000718716,0,0,0,0,0,0
ENST00000488306,0,0,0,0,0,0
ENST00000718893,0,0,0,0,0,0
ENST00000718894,0,0,0,0,0,0
ENST00000483430,0,0,0,0,0,0
ENST00000936969,0,0,0,0,0,0
ENST00000936974,0,0,0,0,0,0
ENST00000936970,0,0,0,0,0,0
ENST00000904846,0,0,0,0,0,0
ENST00000936975,0,0,0,0,0,0
ENST00000936971,0,0,0,0,0,0
ENST00000332707,0,0,0,0,0,0
ENST00000904849,0,0,0,0,0,0
ENST00000936972,0,0,0,0,0,0
ENST00000936976,0,0,0,0,0,0
ENST00000971590,0,0,0,0,0,0
ENST00000936973,0,0,0,0,0,0
ENST00000936977,0,0,0,0,0,0
ENST00000936978,0,0,0,0,0,0
ENST00000936980,0,0,0,0,0,0
ENST00000936979,0,0,0,0,0,0
ENST00000904848,0,0,0,0,0,0
ENST00000971591,0,0,0,0,0,0
ENST00000904847,0,0,0,0,0,0
ENST00000971592,0,0,0,0,0,0
ENST00000936981,0,0,0,0,0,0
ENST00000971593,0,0,0,0,0,0
ENST00000936982,0,0,0,0,0,0
ENST00000540203,0,0,0,0,0,0
ENST00000400935,0,0,0,0,0,0
ENST00000542958,0,0,0,0,0,0
ENST00000538086,0,0,0,0,0,0
ENST00000541842,0,0,0,0,0,0
ENST00000543493,0,0,0,0,0,0
ENST00000762227,0,0,0,0,0,0
ENST00000610945,0,0,0,0,0,0
ENST00000676654,0,0,0,0,0,0
ENST00000676684,0,0,0,0,0,0
ENST00000677499,0,0,0,0,0,0
ENST00000677641,0,0,0,0,0,0
