gene_id,HBR_Rep1_ERCC-Mix2,HBR_Rep2_ERCC-Mix2,HBR_Rep3_ERCC-Mix2,UHR_Rep1_ERCC-Mix1,UHR_Rep2_ERCC-Mix1,UHR_Rep3_ERCC-Mix1
MSTRG.473|SERPIND1,0,5,0,345,217,261
MSTRG.474|SNAP29,89,125,103,292,193,199
MSTRG.475,0,0,0,0,0,0
MSTRG.493,10,6,8,1,7,5
MSTRG.493|GGT2P,0,0,0,0,0,0
MSTRG.494|E2F6P3,0,0,0,0,0,0
MSTRG.495|POM121L8P,0,0,0,0,0,0
MSTRG.493|BCRP6,0,0,0,0,0,0
MSTRG.496,0,0,0,0,0,0
MSTRG.492|FAM247A,1,1,2,0,1,1
MSTRG.498,6,1,2,0,0,0
MSTRG.499|FAM246A,0,0,0,0,0,0
MSTRG.500|RN7SKP63,0,0,0,0,0,0
MSTRG.500|RIMBP3B,3,5,6,16,15,12
MSTRG.478|AIFM3,195,196,221,18,16,22
MSTRG.479,0,7,5,4,8,5
MSTRG.478|LZTR1,260,311,168,656,380,484
MSTRG.480|THAP7,77,118,86,219,169,179
MSTRG.481|THAP7-AS1,13,13,5,25,0,14
MSTRG.482,49,9,17,2,5,16
MSTRG.482|TUBA3FP,0,0,0,22,17,0
MSTRG.481|P2RX6,38,29,33,49,30,52
MSTRG.482|SLC7A4,0,61,36,3,0,0
MSTRG.483,0,0,0,0,0,0
MSTRG.484|MIR649,0,0,0,0,0,0
MSTRG.485,9,5,3,0,2,2
MSTRG.485|P2RX6P,0,0,0,0,0,0
MSTRG.478,7,31,99,0,0,0
MSTRG.501|HIC2,62,55,60,477,233,306
MSTRG.502,7,12,9,14,8,14
MSTRG.504|TMEM191C,9,9,22,4,12,5
MSTRG.505,156,187,161,402,245,274
MSTRG.506,0,0,0,0,0,0
MSTRG.505|PI4KAP2,2,2,0,0,2,0
MSTRG.513|CCDC116,6,0,0,0,0,0
MSTRG.511|YDJC,40,57,56,347,188,274
MSTRG.515|SDF2L1,10,31,8,111,72,88
MSTRG.509|UBE2L3,436,498,416,963,612,669
MSTRG.510|Metazoa_SRP,0,0,0,0,0,0
MSTRG.508|RIMBP3C,3,2,3,15,14,8
MSTRG.516,0,0,0,0,0,0
MSTRG.517,6,10,5,60,26,60
MSTRG.517|MIR301B,0,0,0,0,0,0
MSTRG.517|MIR130B,0,1,0,1,1,1
MSTRG.518,0,0,0,0,0,0
MSTRG.519,0,0,0,0,0,0
MSTRG.520,0,0,0,0,0,0
MSTRG.517|PPIL2,194,207,198,700,372,570
MSTRG.521|YPEL1,125,187,154,46,21,27
MSTRG.522,0,0,0,0,0,0
MSTRG.523|RN7SL280P,2,0,1,3,1,0
ENSG00000263366|ABHD17AP5,0,0,0,0,0,0
MSTRG.541|TOP3BP1,3,8,6,25,18,23
MSTRG.524|MAPK1,1605,2012,1938,1861,1053,1424
MSTRG.525|RNA5SP493,0,0,0,0,1,0
MSTRG.526,0,0,0,0,0,0
MSTRG.542,0,0,0,0,5,0
ENSG00000234630,0,0,0,0,0,0
MSTRG.543,2,0,3,4,9,0
MSTRG.544|IGLV1-51,0,1,0,0,0,0
MSTRG.545|IGLV1-50,0,0,0,0,0,0
MSTRG.544,93,128,78,155,105,84
MSTRG.544|BMS1P20,18,0,32,0,0,46
MSTRG.544|IGLV5-52,1,1,2,0,0,0
MSTRG.551|ZNF280B,62,80,81,141,121,89
MSTRG.529|PPM1F,191,241,250,547,359,427
MSTRG.530|PPM1F-AS1,63,110,63,42,80,56
MSTRG.531,0,0,0,1,0,0
MSTRG.532|TOP3B,64,78,98,425,334,364
MSTRG.573|IGLL5,0,0,0,0,0,0
MSTRG.573|IGLJ1,0,0,0,0,0,0
MSTRG.573|IGLC1,3,0,0,193,100,129
MSTRG.574|IGLJ2,1,0,0,62,30,36
MSTRG.575|IGLC2,2,0,0,6100,3700,4494
MSTRG.587|RAB36,62,79,79,49,31,29
MSTRG.588,0,0,0,0,0,0
MSTRG.584|GNAZ,514,572,500,80,41,57
MSTRG.583|RSPH14,8,11,9,1,0,0
MSTRG.586|U7,0,0,0,0,0,0
MSTRG.585|Metazoa_SRP,2,0,0,0,0,0
